Text,Place,Perpetrator,Date,Gang violence,Sexual violence,Famine
"Over the weekend, gang leader Jimmy Chérizier (alias Barbecue) posted a video addressing Prime Minister, Garry Conille, offering to keep his gang off the streets and stay in their base in exchange for dialogue to resolve the security crisis.",N/A,Jimmy Chérizier (alias Barbecue),N/A,Yes,No,No
"Three police officers of the Anti-Gang Unit (UTAG) were assassinated on 9 June in Delmas by members of the gang led by Jimmy Chérizier, known as Barbecue.",Delmas,"Jimmy Chérizier, Anti-Gang Unit (UTAG)",9 June,Yes,No,No
Médecins Sans Frontières (MSF) received 80 tons of medical equipment and supplies on 21 June. The arrival of supplies has allowed to increase the capacity of important hospitals.,N/A,N/A,21 June,No,No,No
A cargo of munition from the United States was apprehended at the border control in Cap Haïtien on 11 June.,Cap Haïtien,N/A,11 June,Yes,No,No
"Five million people are food insecure in Haiti, 1.6 million of which are facing emergency food insecurity. Since January, food prices in Port-au-Prince have increased by 30%.",Port-au-Prince,N/A,N/A,No,No,Yes
"455 Haitian police officers will join the PNH, having completed a 12-week training programme.",N/A,N/A,N/A,No,No,No
"The Deputy Director of the Food and Agriculture Organization (FAO) of the United Nations, Mario Lubetkin, stated his concern on the trends of rising acute food insecurity in Haiti.",Haiti,N/A,N/A,No,No,Yes
200 Kenyan police officers arrived in Haiti on 25 June.,Haiti,N/A,25 June,No,No,No
Four members of the '6 men for hell' gang were lynched by residents of the neighbourhood of Watapana in Jacmel.,Jacmel,'6 men for hell' gang,N/A,Yes,No,No
"Late last month, a tornado hit the north of Haiti, resulting in over 4,000 people losing their homes.",North of Haiti,N/A,N/A,No,No,Yes
"The enactment of the Penal Code and Code of Criminal Procedure, scheduled for 24 June, has been postponed by 12 months.",N/A,N/A,24 June,No,No,No
"The number of displaced people in Haiti increased by 60% since March, with around 580,000 people currently displaced in the country.",Haiti,N/A,N/A,No,No,Yes
"Gunfire was heard at Nazon on 12 June, the anniversary of the Haitian National Police Force.",Nazon,N/A,12 June,Yes,No,No
A cargo of munitions from the United States was apprehended at the border control in Cap Haïtien on 11 June.,Cap Haïtien,N/A,11 June,Yes,No,No
The UN Security Council met on 21 June to discuss Haiti and the deployment of the MSS mission.,N/A,N/A,21 June,No,No,No
"A brutal attack took place in the commune of Gressier on Sunday 30 June by a gang coalition entitled “103 Zombie”. 25 people were killed and numerous were kidnapped during the attack. Since the attack, gangs control 75% of the commune and around 23,000 have fled the area.",Gressier,"103 Zombie",30 June,Yes,No,No
"Among those kidnapped in the attack was Father Emmanuel Saintéliat, the parish priest of Saint John the Baptist Church. He has since been released.",Gressier,N/A,30 June,Yes,No,No
"A second attack on the Saint-Charles police station in Carrefour on 5 July led to the murder of two police officers and one civilian.",Carrefour,N/A,5 July,Yes,No,No
"Gang attacks have increased in neighbourhoods of Bel-Aire and downtown Port-au-Prince, with regular gunshots being heard in the metropolitan area.",Bel-Aire,N/A,N/A,Yes,No,No
"The Haitian National Police Force (PNH) together with Kenyan officers were able to retake the general hospital in Port-au-Prince, which had been used by gangs as a hostage zone, on 7 July.",Port-au-Prince,N/A,7 July,Yes,No,No
"Members of the gang “400 Mawozo” have barricaded the National road #8 in Croix-des-Bouquets with containers welded together.",Croix-des-Bouquets,"400 Mawozo",N/A,Yes,No,No
"In the city centre of Croix-des-Bouquets, gang members have undertaken renovations, after having attacked and burned down buildings including police stations and the town hall as recently as the end of June.",Croix-des-Bouquets,N/A,End of June,Yes,No,No
"The chief of the PNH, Rameau Normil, stated that police operations to retake areas from the gangs are being prepared, but could not go into detail for strategic reasons.",N/A,Rameau Normil,N/A,Yes,No,No
"Gang leader Jimmy Chérizier, aka Barbecue, released a video calling for a dialogue, stating “We are ready to elect a credible and coherent Haitian citizen in the diaspora to facilitate the dialogue to end this mafia war and facilitate the road to peace in the country”.",N/A,Jimmy Chérizier (Barbecue),N/A,Yes,No,No
"Hurricane Beryl, a category 5 storm, passed by Haiti last week, leading to flooding and inflicting damage along the southern coast of Haiti.",Southern Haiti,N/A,Last week,No,No,Yes
"Four police sub-stations and two prisons, Croix-des-Bouquets civil prison and the women’s prison in Cabaret, were attacked by gang members of the coalition “vivre ensemble”.",Croix-des-Bouquets,"vivre ensemble",N/A,Yes,No,No
"There were also reports that a police officer was decapitated by gang members.",N/A,N/A,N/A,Yes,No,No
