Text,Place,Perpetrator,Date,Gang violence,Sexual violence,Famine
37 people were affected by protests in Petionville on 2022-12-05 due to economic hardship.,Hinche,natural disaster,2022-01-15,No,No,No
96 people were affected by police conflicts in Port-au-Prince on 2023-06-15 due to economic hardship.,Cap-Haïtien,unknown,2023-11-20,No,Yes,Yes
35 people were affected by gang disputes in Petionville on 2023-07-10 due to militants.,Petionville,unknown,2023-10-30,No,Yes,No
90 people were affected by protests in Port-au-Prince on 2023-07-10 due to criminals.,Hinche,gangs,2023-09-25,Yes,Yes,Yes
98 people were affected by economic instability in Cap-Haïtien on 2022-12-05 due to natural disaster.,Cap-Haïtien,militants,2022-01-15,Yes,No,No
98 people were affected by gang disputes in Cite Soleil on 2022-01-15 due to militants.,Cap-Haïtien,natural disaster,2023-06-15,Yes,No,No
73 people were affected by famine in Jacmel on 2023-09-25 due to marauders.,Cite Soleil,natural disaster,2022-12-05,No,Yes,Yes
39 people were affected by gang disputes in Gonaïves on 2023-10-30 due to natural disaster.,Cap-Haïtien,gangs,2023-07-10,No,No,Yes
20 people were affected by police conflicts in Cap-Haïtien on 2022-01-15 due to gangs.,Les Cayes,economic hardship,2022-01-15,Yes,Yes,No
65 people were affected by famine in Petionville on 2023-06-15 due to marauders.,Hinche,militants,2023-11-20,Yes,Yes,Yes
97 people were affected by violence in Gonaïves on 2023-10-30 due to gangs.,Cite Soleil,natural disaster,2023-07-10,No,Yes,No
68 people were affected by healthcare crisis in Cite Soleil on 2023-10-30 due to criminals.,Hinche,unknown,2023-07-10,No,No,Yes
81 people were affected by violence in Gonaïves on 2023-09-25 due to natural disaster.,Cap-Haïtien,criminals,2022-12-05,Yes,No,Yes
90 people were affected by violence in Cap-Haïtien on 2023-06-15 due to economic hardship.,Cite Soleil,unknown,2023-09-25,Yes,Yes,Yes
20 people were affected by gang disputes in Cite Soleil on 2023-11-20 due to criminals.,Gonaïves,criminals,2023-07-10,Yes,Yes,Yes
20 people were affected by economic instability in Port-au-Prince on 2023-11-20 due to criminals.,Les Cayes,marauders,2023-09-25,No,No,Yes
80 people were affected by gang disputes in Les Cayes on 2023-10-30 due to criminals.,Petionville,militants,2023-06-15,No,Yes,Yes
