title,url,Place,Date,Who is involved,Perpetrator,Protests,Gang Violence,Famine,Migration,Sexual Violence,Shootings
"Haiti Situation Report 22, 20 November 2024",https://www.eepa.be/?p=8718,Port - au - Prince Pétion - Ville Pé - Ville Port - au - Prince Port - au - Prince Solino Dominican Republic Haiti ##igi Port Ville ,,Gary Conille Gary Conille Ali ##x Didier Fils Aimé Fils - Aimé Jimmy Chérizier Bar Jimmy Chérizier ,Transitional Presidential Council CPT Viv ansan Haitian ##tion Haitian Bwa Kale V ansan Haitian National Police Spirit Airlines Federal aviation Haitian Del P ,Yes,Yes,Yes,Yes,No,No
"Haiti Situation Report 21, 6 November 2024",https://www.eepa.be/?p=8679,Haiti Haiti Port - au - Prince ##ef Cité Soleil Haiti S Solino Port - au - Prince Salino Arcahaie Arcah Arcah Pont Grand Des Petit Art ,,,UN United Nations Integrated Office BINUH Carr ##our U U N V Ansan Bouca Fort - National V Ansan Haitian National Police PNH ,No,No,No,No,No,No
"Haiti Situation Report 20, 23 October 2024",https://www.eepa.be/?p=8648,West Arb Ma ##lo Ambroise Tabar Tabarre Delmas 24 Solino - Port - au - Prince Haiti Jé ##mie Arcahaie West department Port ,,K Jean Jacques Dessalines Guy Philippe Carlos ,Kenyan Haitian ##raze Baryè ##te Viv Ansanm Transitional Presidential Council CPT Provisional Electoral Council CEP Court of Cassation School of Magistrates CEP Bel Air Haitian National Police PNH Haitian Armed Forces FADH ,No,No,No,No,No,No
"Haiti Situation Report 19, 9 October 2024",https://www.eepa.be/?p=8595,Gran ##rif Pont - Sondé Pont - Sondé Carref Pèye Gran ##rif Carref ##au Savary Grasset Saint - Nicolas Hospital Lower Artibonite Haiti Haiti ,,Leslie Voltaire Edgar ##d Leblanc Fils Smith Augustin Louis Gérald Gilles Edgar ##d Leblanc Fils Emmanuel Vertilaire ,G ##our G ##our Cade Fanmi Lavalas Transitional Presidential Council CPT CPT Collective of Political Parties Monitoring Office the Montana Agreement Council CPT Collective of Political Parties Collective CPT Anti - Corruption Unit ULCC Civil Society Organisation Civil Society Initiative ISC National Human Rights Defence Network RNDDH Together Against Co ECC CPT Permanent Council Organisation American States OAS Dominican Republic Haitian Haitian Dominican ,Yes,Yes,Yes,Yes,Yes,Yes
"Haiti Situation Report 18, 25 September 2024",https://www.eepa.be/?p=8556,Haiti Cité - Soleil Cité - Soleil Delmas Port - au - Prince Peace University Hospital Miragoâne Saline Gressier Village - Die Port - au - Prince Cha ##mps - des - Marches Haiti Port - au - Prince Delmas Haiti Port ,,Simon Pelé ,Haitian Provisional Electoral Council CEP CEP Haitian National Police Force Bel - Air La de - ##u IMF Prime s Office O ,Yes,Yes,Yes,Yes,Yes,Yes
"Haiti Situation Report 17, 11 September 2024",https://www.eepa.be/?p=8519,Saint - Marc Croix - des - ##uquets Port - au - Prince Haiti Haiti ,,Smith Augustin Louis Gérald Gilles Emmanuel Vertilaire Ma ,Transitional Presidential Council CPT CPT F ##ondasyon Je Klere UNICEF Haitian National Police Forces PNH Bo PNH Chen Me Pierre Department Service Police Del Citizens OPC Haitian State University UEH V Jimmy ,Yes,No,No,No,No,No
"Haiti Situation Report 16, 7 August 2024",https://www.eepa.be/?p=8473,Haiti Cité - Soleil Gressier Ganthier Ganthier Ganthier Port - au - Prince State University Hospital of Haiti ##ri Pont - Sondé Haiti ,,Jimmy Chérizier Bar Mathias Gabriel Garry Conille ,Haiti National Police Forces PNH Haitian Kenyan Ma Ma Kenyan Kenyan Viv An Haitian Gran G ##f ,Yes,Yes,Yes,Yes,Yes,No
"Haiti Situation Report 15, 24 July 2024",https://www.eepa.be/?p=8444,Anse - d ’ Ainault Chambellan Moron G ##anthier Gressier Léogâne Ganthier Gressier Bicentenaire La Plaine Croix de Bouquets Haiti Haiti ,,Garry Conille Conille ,Haitian Haitian National Police PNH Armed Forces of Haiti FAd ’ H Kenyan Trianon Mirballais PNH Ma PNH PNH Haitian UN IDP IDP IDP Haitian ,Yes,Yes,Yes,Yes,No,No
"Haiti Situation Report 14, 10 July 2024",https://www.eepa.be/?p=8422,Gressier Saint John the Baptist Church Saint - Charles Carrefour Bel - Aire Port - au - Prince Les Palmes Port - au - Prince National road 8 Croix - des - Bouquets Croix - des - Bouquets ,,Emmanuel Saintélia Ram ##eau Normil Jimmy Chérizier Bar ,Zombie Haitian National Police Force PNH Kenyan Ma PNH Haitian Haitian ,No,No,No,No,No,No
"Haiti Situation Report 13, 26 June 2024",https://www.eepa.be/?p=8386,Delmas Haiti Haiti Haiti States ,,Jimmy Chérizier Bar Garry Conille Conille Chériz Ram ##eau Normil Normil Fr ##ant ##z Elbé Mario Lubetkin Patrick Laurent ,##be Haitian Haitian National Police PNH PNH Haitian PNH Presidential Transitional Council PTC Food and Agriculture Organization FAO United Nations FAO Médecins Sans Frontières MSF United ,Yes,Yes,No,Yes,No,Yes
